n,p,lambda,rho,S
100000,5e-05,5.8,4,0.00361
100000,5e-05,0.6,4,0.99999
100000,5e-05,6.1,4,0.00377
100000,5e-05,8.4,4,0.00441
100000,5e-05,5.5,4,0.00337
100000,5e-05,4.0,4,0.00349
100000,5e-05,2.9,4,0.00384
100000,5e-05,0.6,4,0.99993
100000,5e-05,5.3,4,0.00345
100000,5e-05,5.3,4,0.00367
100000,5e-05,7.4,4,0.0046
100000,5e-05,6.7,4,0.00399
100000,5e-05,0.2,4,0.99999
100000,5e-05,9.8,4,0.00413
100000,5e-05,6.1,4,0.0039
100000,5e-05,8.0,4,0.99998
100000,5e-05,7.2,4,0.00387
100000,5e-05,7.6,4,0.00434
100000,5e-05,6.5,4,0.00387
100000,5e-05,2.2,4,0.00574
100000,5e-05,0.9,4,0.99999
100000,5e-05,0.8,4,0.99999
100000,5e-05,5.1,4,0.00351
100000,5e-05,3.7,4,0.00311
100000,5e-05,8.0,4,0.00402
100000,5e-05,2.0,4,0.00705
100000,5e-05,2.0,4,0.00731
100000,5e-05,4.5,4,0.00348
100000,5e-05,0.1,4,0.99998
100000,5e-05,5.5,4,0.00394
100000,5e-05,8.8,4,0.00439
100000,5e-05,1.8,4,0.01023
100000,5e-05,7.9,4,0.00422
100000,5e-05,2.5,4,0.00427
100000,5e-05,7.3,4,0.00444
100000,5e-05,7.3,4,0.99999
100000,5e-05,0.8,4,0.99939
100000,5e-05,5.3,4,0.00363
100000,5e-05,0.0,4,0.99999
100000,5e-05,3.3,4,0.00332
100000,5e-05,1.3,4,0.99996
100000,5e-05,9.6,4,0.00421
100000,5e-05,4.6,4,0.00321
100000,5e-05,9.5,4,0.00455
100000,5e-05,5.2,4,0.0033
100000,5e-05,5.1,4,0.99998
100000,5e-05,3.7,4,0.00352
100000,5e-05,5.7,4,0.0039
100000,5e-05,1.8,4,0.01026
100000,5e-05,8.1,4,0.0045
100000,5e-05,2.0,4,0.00754
100000,5e-05,3.2,4,0.00329
100000,5e-05,6.4,4,0.00413
100000,5e-05,7.5,4,0.00422
100000,5e-05,5.4,4,0.00341
100000,5e-05,6.7,4,0.004
100000,5e-05,4.7,4,0.00314
100000,5e-05,5.8,4,0.00371
100000,5e-05,8.5,4,0.00408
100000,5e-05,7.1,4,0.00384
100000,5e-05,6.3,4,0.0037
100000,5e-05,3.1,4,0.00345
100000,5e-05,0.8,4,0.99996
100000,5e-05,9.5,4,0.00472
100000,5e-05,2.6,4,0.00405
100000,5e-05,9.6,4,0.00442
100000,5e-05,7.9,4,0.00414
100000,5e-05,5.9,4,0.0034
100000,5e-05,6.7,4,0.00347
100000,5e-05,6.5,4,0.00446
100000,5e-05,5.5,4,0.00343
100000,5e-05,2.0,4,0.00765
100000,5e-05,8.6,4,0.00412
100000,5e-05,6.8,4,0.00391
100000,5e-05,6.5,4,0.00386
100000,5e-05,4.7,4,0.00314
100000,5e-05,1.1,4,0.99992
100000,5e-05,3.6,4,0.00345
100000,5e-05,5.9,4,0.00382
100000,5e-05,3.5,4,0.00313
100000,5e-05,9.3,4,0.00446
100000,5e-05,8.1,4,0.004
100000,5e-05,4.6,4,0.00331
100000,5e-05,7.8,4,0.00433
100000,5e-05,5.9,4,0.0036
100000,5e-05,6.3,4,0.00403
100000,5e-05,8.3,4,0.00427
100000,5e-05,4.0,4,0.00337
100000,5e-05,4.1,4,0.00327
100000,5e-05,8.9,4,0.00475
100000,5e-05,0.5,4,0.99999
100000,5e-05,6.6,4,0.00389
100000,5e-05,4.8,4,0.00341
100000,5e-05,2.1,4,0.99999
100000,5e-05,8.4,4,0.00437
100000,5e-05,6.0,4,0.00369
100000,5e-05,8.0,4,0.00462
100000,5e-05,9.0,4,0.00447
100000,5e-05,3.2,4,0.99999
100000,5e-05,2.3,4,0.00509
100000,5e-05,4.2,4,0.00334
100000,5e-05,8.1,4,0.00451
100000,5e-05,0.6,4,0.99998
100000,5e-05,5.8,4,0.00353
100000,5e-05,9.7,4,0.00526
100000,5e-05,2.4,4,0.00493
100000,5e-05,8.7,4,0.00479
100000,5e-05,8.0,4,0.0046
100000,5e-05,5.5,4,0.00361
100000,5e-05,4.2,4,0.00297
100000,5e-05,3.6,4,0.00321
100000,5e-05,0.2,4,0.99999
100000,5e-05,5.9,4,0.00378
100000,5e-05,5.4,4,0.00378
100000,5e-05,0.8,4,0.99999
100000,5e-05,3.4,4,0.00336
100000,5e-05,9.7,4,0.00472
100000,5e-05,7.8,4,0.0043
100000,5e-05,6.9,4,0.00395
100000,5e-05,0.6,4,0.99999
100000,5e-05,4.1,4,0.00304
100000,5e-05,2.3,4,0.00537
100000,5e-05,5.3,4,0.0034
100000,5e-05,8.2,4,0.00412
100000,5e-05,7.6,4,0.0039
100000,5e-05,0.5,4,0.99999
100000,5e-05,8.2,4,0.00459
100000,5e-05,5.6,4,0.00371
100000,5e-05,3.8,4,0.00355
100000,5e-05,0.4,4,0.99999
100000,5e-05,2.1,4,0.00651
100000,5e-05,6.7,4,0.00382
100000,5e-05,8.0,4,0.00435
100000,5e-05,1.2,4,0.99998
100000,5e-05,1.7,4,0.01203
100000,5e-05,8.8,4,0.00454
100000,5e-05,4.7,4,0.99999
100000,5e-05,2.7,4,0.99999
100000,5e-05,5.4,4,0.00343
100000,5e-05,4.1,4,0.00324
100000,5e-05,9.9,4,0.00492
100000,5e-05,5.0,4,0.00363
100000,5e-05,6.1,4,0.0037
100000,5e-05,7.2,4,0.00391
100000,5e-05,0.0,4,0.99999
100000,5e-05,6.1,4,0.99999
100000,5e-05,4.8,4,0.00341
100000,5e-05,2.9,4,0.00334
100000,5e-05,3.5,4,0.00329
100000,5e-05,8.5,4,0.00481
100000,5e-05,5.4,4,0.00358
100000,5e-05,3.3,4,0.00355
100000,5e-05,2.3,4,0.00492
100000,5e-05,1.4,4,0.02447
100000,5e-05,1.0,4,0.99995
100000,5e-05,9.6,4,0.00488
100000,5e-05,0.6,4,0.99998
100000,5e-05,0.7,4,0.99993
100000,5e-05,1.1,4,0.99999
100000,5e-05,4.8,4,0.99999
100000,5e-05,8.8,4,0.00443
100000,5e-05,4.9,4,0.99998
100000,5e-05,3.0,4,0.00384
100000,5e-05,0.2,4,0.99996
100000,5e-05,5.6,4,0.00336
100000,5e-05,9.9,4,0.00474
