n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,3,9917,65,18,0.9386989567826649,4.992538818309947
10000,0.0005,2,3,9916,66,18,0.9396841784575417,4.9922355551073245
10000,0.0005,2,3,9916,66,18,0.9406541105622944,4.992234772085578
10000,0.0005,2,3,9916,66,18,0.9416287694316902,4.992335619201351
10000,0.0005,2,3,9916,65,19,0.9426082013611711,4.992436466317123
10000,0.0005,2,3,9916,65,19,0.9436183023712721,4.992436466317123
10000,0.0005,2,3,9916,65,19,0.944633530797668,4.992537313432896
10000,0.0005,2,3,9916,65,19,0.9456539389609333,4.992638160548668
10000,0.0005,2,3,9915,66,19,0.9466795799865744,4.992739007664441
10000,0.0005,2,3,9914,67,19,0.9476886617221949,4.99273827534044
10000,0.0005,2,3,9913,68,19,0.948676804014685,4.992636675408359
10000,0.0005,2,3,9912,69,19,0.9496591222858048,4.992837687884611
10000,0.0005,2,3,9912,69,19,0.9506215861934083,4.99273607748178
10000,0.0005,2,3,9912,69,19,0.9515887041818029,4.992836965294532
10000,0.0005,2,3,9912,69,19,0.9525605214801508,4.992937853107284
10000,0.0005,2,3,9912,69,19,0.9535370839801508,4.993038740920036
10000,0.0005,2,3,9912,69,19,0.9545184382490419,4.993139628732788
10000,0.0005,2,3,9912,69,19,0.9555046315429275,4.993240516545541
10000,0.0005,2,3,9912,69,19,0.95649571182043,4.993341404358293
10000,0.0005,2,3,9912,69,19,0.957491727756685,4.993442292171045
10000,0.0005,2,3,9912,69,19,0.958492728757686,4.9935431799837975
10000,0.0005,2,3,9912,69,19,0.9594987649749898,4.9936440677965495
10000,0.0005,2,3,9911,70,19,0.9605098873207936,4.993744955609301
10000,0.0005,2,3,9911,70,19,0.9615049121964154,4.993744324487947
10000,0.0005,2,3,9911,70,19,0.9625049121964154,4.993845222480077
10000,0.0005,2,3,9911,70,19,0.9635099373220436,4.993946120472208
10000,0.0005,2,3,9910,71,19,0.9645200383321446,4.994047018464339
10000,0.0005,2,3,9909,72,19,0.9654852892973956,4.9934409687185175
10000,0.0005,2,3,9909,72,19,0.966426908883083,4.993238470077539
10000,0.0005,2,3,9908,73,19,0.9673729826768389,4.993339388434588
10000,0.0005,2,3,9908,73,19,0.9683093122648538,4.993439644731859
10000,0.0005,2,3,9907,74,19,0.9692500460371962,4.993540573274451
10000,0.0005,2,3,9907,74,19,0.9701641228196459,4.993035227616739
10000,0.0005,2,3,9907,74,19,0.9710823964651923,4.993136166346929
10000,0.0005,2,3,9907,74,19,0.9720049056902846,4.99323710507712
10000,0.0005,2,3,9907,74,19,0.9729274149153769,4.99323710507712
10000,0.0005,2,3,9907,74,19,0.9738541989746912,4.99333804380731
10000,0.0005,2,3,9906,75,19,0.974785297671153,4.993438982537501
10000,0.0005,2,3,9906,75,19,0.9757027288638135,4.993438320209989
10000,0.0005,2,3,9905,76,19,0.9766243878499886,4.993539269129835
10000,0.0005,2,3,9904,77,19,0.9775409781341317,4.993740535083233
10000,0.0005,2,3,9904,77,19,0.9784322437312796,4.99343699515327
10000,0.0005,2,3,9904,77,19,0.9793274988789966,4.993537964458602
10000,0.0005,2,3,9904,77,19,0.9802267794545362,4.993638933763933
10000,0.0005,2,3,9904,77,19,0.9811301218212932,4.993739903069264
10000,0.0005,2,3,9904,77,19,0.9820375628376271,4.993840872374595
10000,0.0005,2,3,9904,77,19,0.982949139865886,4.993941841679926
10000,0.0005,2,3,9904,77,19,0.9838648907816369,4.994042810985257
10000,0.0005,2,3,9903,78,19,0.9847848539831088,4.994143780290589
10000,0.0005,2,3,9903,78,19,0.9857082150172731,4.994345147935064
10000,0.0005,2,3,9902,79,19,0.9866358588020597,4.994446127436225
10000,0.0005,2,3,9901,80,19,0.9875669574985215,4.99464754594989
10000,0.0005,2,3,9901,79,20,0.9884719348740871,4.994344005656179
10000,0.0005,2,3,9900,80,20,0.9893902085196336,4.994344005656179
10000,0.0005,2,3,9900,80,20,0.9902635709650484,4.993535353535057
