n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,0,2456,5581,1963,1.4490461869363167,3.581366965012134
10000,0.0005,2,0,2455,5582,1963,1.44911887720309,3.581366965012134
10000,0.0005,2,0,2455,5581,1964,1.4491915727541222,3.581366965012134
10000,0.0005,2,0,2454,5582,1964,1.4492642841625423,3.581366965012134
10000,0.0005,2,0,2453,5583,1964,1.449337032598451,3.581366965012134
10000,0.0005,2,0,2452,5584,1964,1.4494097757424096,3.5792906644924853
10000,0.0005,2,0,2451,5585,1964,1.449482513595188,3.5792906644924853
10000,0.0005,2,0,2451,5584,1965,1.4495552885024001,3.5792906644924853
10000,0.0005,2,0,2450,5585,1965,1.4496280793016432,3.5792906644924853
10000,0.0005,2,0,2450,5584,1966,1.4497008753997722,3.5792906644924853
10000,0.0005,2,0,2449,5585,1966,1.4497736873991898,3.5792906644924853
10000,0.0005,2,0,2448,5586,1966,1.4498465365286426,3.5792906644924853
10000,0.0005,2,0,2448,5585,1967,1.4499193909654777,3.5792906644924853
10000,0.0005,2,0,2447,5586,1967,1.4499922825756535,3.5792906644924853
10000,0.0005,2,0,2447,5585,1968,1.4500651688730295,3.5792906644924853
10000,0.0005,2,0,2447,5584,1969,1.4501380711111282,3.5758071107477964
10000,0.0005,2,0,2447,5583,1970,1.4502109786643507,3.5758071107477964
10000,0.0005,2,0,2446,5584,1970,1.4502838915334721,3.5758071107477964
10000,0.0005,2,0,2446,5583,1971,1.4503568522805903,3.5758071107477964
10000,0.0005,2,0,2446,5582,1972,1.4504298290010165,3.5758071107477964
10000,0.0005,2,0,2446,5581,1973,1.450502811047433,3.5758071107477964
10000,0.0005,2,0,2446,5580,1974,1.4505757984206173,3.5758071107477964
10000,0.0005,2,0,2445,5581,1974,1.4506488337697263,3.5758071107477964
10000,0.0005,2,0,2444,5582,1974,1.4507218744533872,3.5758071107477964
10000,0.0005,2,0,2443,5583,1974,1.4507949204723791,3.5758071107477964
10000,0.0005,2,0,2442,5584,1974,1.45086796115604,3.5763405648793603
10000,0.0005,2,0,2442,5583,1975,1.4509410285241533,3.5763405648793603
10000,0.0005,2,0,2441,5584,1975,1.4510141012314972,3.5763405648793603
10000,0.0005,2,0,2440,5585,1975,1.451087189961215,3.5763405648793603
10000,0.0005,2,0,2439,5586,1975,1.4511603054105093,3.5763405648793603
10000,0.0005,2,0,2439,5585,1976,1.4512334262060635,3.5763405648793603
10000,0.0005,2,0,2439,5584,1977,1.4513065523486595,3.5763405648793603
10000,0.0005,2,0,2438,5585,1977,1.4513796945370738,3.5763405648793603
10000,0.0005,2,0,2437,5586,1977,1.4514528313760997,3.5763405648793603
10000,0.0005,2,0,2437,5585,1978,1.4515260163878092,3.5763405648793603
10000,0.0005,2,0,2436,5586,1978,1.4515992174711851,3.574887156339682
10000,0.0005,2,0,2435,5587,1978,1.4516724346332879,3.574887156339682
10000,0.0005,2,0,2435,5586,1979,1.4517456786089709,3.574887156339682
10000,0.0005,2,0,2434,5587,1979,1.4518189386822309,3.574887156339682
10000,0.0005,2,0,2433,5588,1979,1.4518922041229225,3.574887156339682
10000,0.0005,2,0,2432,5589,1979,1.4519654427343185,3.574887156339682
10000,0.0005,2,0,2431,5590,1979,1.452038675982213,3.574887156339682
10000,0.0005,2,0,2430,5591,1979,1.452111925322969,3.574887156339682
10000,0.0005,2,0,2430,5590,1980,1.452185180029584,3.574887156339682
10000,0.0005,2,0,2430,5589,1981,1.4522584615772902,3.574887156339682
10000,0.0005,2,0,2429,5590,1981,1.4523317484955753,3.5728395061729485
10000,0.0005,2,0,2428,5591,1981,1.4524050300432816,3.5728395061729485
10000,0.0005,2,0,2428,5590,1982,1.4524783062211961,3.5728395061729485
10000,0.0005,2,0,2427,5591,1982,1.4525515985108473,3.5728395061729485
10000,0.0005,2,0,2427,5590,1983,1.452624863951539,3.5728395061729485
10000,0.0005,2,0,2427,5589,1984,1.4526981347604486,3.5728395061729485
10000,0.0005,2,0,2426,5590,1984,1.4527714324222532,3.5728395061729485
10000,0.0005,2,0,2426,5589,1985,1.4528447139699594,3.5728395061729485
10000,0.0005,2,0,2426,5588,1986,1.452918011631764,3.5728395061729485
10000,0.0005,2,0,2426,5587,1987,1.4529913146665097,3.5728395061729485
10000,0.0005,2,0,2426,5586,1988,1.4530646445777804,3.569249793899401
10000,0.0005,2,0,2426,5585,1989,1.4531379906244284,3.569249793899401
10000,0.0005,2,0,2425,5586,1989,1.4532113420511137,3.569249793899401
10000,0.0005,2,0,2425,5585,1990,1.45328473116017,3.569249793899401
10000,0.0005,2,0,2425,5584,1991,1.4533581256555828,3.569249793899401
10000,0.0005,2,0,2424,5585,1991,1.4534315363148105,3.569249793899401
10000,0.0005,2,0,2423,5586,1991,1.4535049631449741,3.569249793899401
10000,0.0005,2,0,2423,5585,1992,1.4535783953670331,3.569249793899401
10000,0.0005,2,0,2423,5584,1993,1.4536518437695305,3.569249793899401
10000,0.0005,2,0,2423,5583,1994,1.4537252975670918,3.569249793899401
10000,0.0005,2,0,2422,5584,1994,1.4537987567605097,3.565827486586857
10000,0.0005,2,0,2421,5585,1994,1.4538721997687354,3.565827486586857
10000,0.0005,2,0,2420,5586,1994,1.4539456589621533,3.565827486586857
10000,0.0005,2,0,2419,5587,1994,1.454019101970379,3.565827486586857
10000,0.0005,2,0,2419,5586,1995,1.454092571957889,3.565827486586857
10000,0.0005,2,0,2418,5587,1995,1.4541660689445126,3.565827486586857
10000,0.0005,2,0,2418,5586,1996,1.4542395821401313,3.565827486586857
10000,0.0005,2,0,2417,5587,1996,1.4543131007403372,3.565827486586857
10000,0.0005,2,0,2417,5586,1997,1.454386624745925,3.565827486586857
10000,0.0005,2,0,2417,5585,1998,1.4544601541576896,3.565827486586857
10000,0.0005,2,0,2417,5584,1999,1.4545337106122684,3.564749689697958
10000,0.0005,2,0,2416,5585,1999,1.4546072724777974,3.564749689697958
10000,0.0005,2,0,2415,5586,1999,1.4546808722422782,3.564749689697958
10000,0.0005,2,0,2415,5585,2000,1.4547544991013563,3.564749689697958
10000,0.0005,2,0,2414,5586,2000,1.4548281530749883,3.564749689697958
10000,0.0005,2,0,2413,5587,2000,1.454901790777492,3.564749689697958
10000,0.0005,2,0,2412,5588,2000,1.4549754230578837,3.564749689697958
10000,0.0005,2,0,2411,5589,2000,1.4550490607603874,3.564749689697958
10000,0.0005,2,0,2410,5590,2000,1.4551227364400456,3.564749689697958
10000,0.0005,2,0,2409,5591,2000,1.455196428407621,3.564749689697958
10000,0.0005,2,0,2408,5592,2000,1.455270125806103,3.5603985056040046
10000,0.0005,2,0,2408,5591,2001,1.4553438286362916,3.5603985056040046
10000,0.0005,2,0,2407,5592,2001,1.455417547766406,3.5603985056040046
10000,0.0005,2,0,2406,5593,2001,1.455491326724647,3.5603985056040046
10000,0.0005,2,0,2405,5594,2001,1.4555651220165073,3.5603985056040046
10000,0.0005,2,0,2404,5595,2001,1.4556389445471436,3.5603985056040046
10000,0.0005,2,0,2403,5596,2001,1.455712750732102,3.5603985056040046
10000,0.0005,2,0,2403,5595,2002,1.4557865623648152,3.5603985056040046
10000,0.0005,2,0,2402,5596,2002,1.45586039034562,3.5603985056040046
10000,0.0005,2,0,2402,5595,2003,1.4559342128762562,3.5603985056040046
10000,0.0005,2,0,2401,5596,2003,1.4560080626657843,3.5537052456286
10000,0.0005,2,0,2400,5597,2003,1.4560819288203124,3.5537052456286
10000,0.0005,2,0,2399,5598,2003,1.4561558331880606,3.5537052456286
10000,0.0005,2,0,2399,5597,2004,1.456229753945009,3.5537052456286
10000,0.0005,2,0,2399,5596,2005,1.4563036910984286,3.5537052456286
10000,0.0005,2,0,2399,5595,2006,1.4563776337189551,3.5537052456286
10000,0.0005,2,0,2398,5596,2006,1.4564515927456543,3.5537052456286
10000,0.0005,2,0,2398,5595,2007,1.4565255463028204,3.5537052456286
10000,0.0005,2,0,2397,5596,2007,1.4565995162710133,3.5537052456286
10000,0.0005,2,0,2397,5595,2008,1.4566734917111672,3.5537052456286
10000,0.0005,2,0,2397,5594,2009,1.4567474726240917,3.553608677513583
10000,0.0005,2,0,2396,5595,2009,1.4568214918690954,3.553608677513583
10000,0.0005,2,0,2396,5594,2010,1.4568955165933533,3.553608677513583
10000,0.0005,2,0,2395,5595,2010,1.456969557760242,3.553608677513583
10000,0.0005,2,0,2394,5596,2010,1.4570436153770678,3.553608677513583
10000,0.0005,2,0,2393,5597,2010,1.4571176675097692,3.553608677513583
10000,0.0005,2,0,2392,5598,2010,1.4571917251265951,3.553608677513583
10000,0.0005,2,0,2391,5599,2010,1.4572657662934838,3.553608677513583
10000,0.0005,2,0,2390,5600,2010,1.4573397910177417,3.553608677513583
10000,0.0005,2,0,2389,5601,2010,1.4574137883538376,3.553608677513583
10000,0.0005,2,0,2389,5600,2011,1.4574878021203983,3.5487651737128347
10000,0.0005,2,0,2388,5601,2011,1.457561821365402,3.5487651737128347
10000,0.0005,2,0,2387,5602,2011,1.4576358351319627,3.5487651737128347
10000,0.0005,2,0,2386,5603,2011,1.4577098215184676,3.5487651737128347
10000,0.0005,2,0,2385,5604,2011,1.4577838243305745,3.5487651737128347
10000,0.0005,2,0,2385,5603,2012,1.457857854534898,3.5487651737128347
10000,0.0005,2,0,2384,5604,2012,1.4579318902200982,3.5487651737128347
10000,0.0005,2,0,2383,5605,2012,1.4580059423527996,3.5487651737128347
10000,0.0005,2,0,2383,5604,2013,1.4580800109403116,3.5487651737128347
10000,0.0005,2,0,2382,5605,2013,1.4581540850143857,3.5487651737128347
10000,0.0005,2,0,2382,5604,2014,1.4582281645758346,3.5491183879092185
10000,0.0005,2,0,2382,5603,2015,1.4583022496254716,3.5491183879092185
10000,0.0005,2,0,2382,5602,2016,1.4583763511445527,3.5491183879092185
10000,0.0005,2,0,2382,5601,2017,1.458450458155076,3.5491183879092185
10000,0.0005,2,0,2382,5600,2018,1.4585245706578551,3.5491183879092185
10000,0.0005,2,0,2381,5601,2018,1.4585986886537046,3.5491183879092185
