n,p,lambda,rho,s,i,r,t,mu,newmu
100000,5e-05,2,3,99950,45,5,0.6457370309413097,5.002801316619152,5
100000,5e-05,2,3,99950,45,5,0.6472185124227913,5.002801316619152,5
100000,5e-05,2,3,99950,45,5,0.6487110497362241,5.002801316619152,5
100000,5e-05,2,3,99950,45,5,0.6502148091347203,5.002801316619152,5
100000,5e-05,2,3,99950,45,5,0.6517299606498718,5.002801316619152,5
100000,5e-05,2,3,99950,45,5,0.6532566782071236,5.002801316619152,5
100000,5e-05,2,3,99949,46,5,0.6547951397455851,5.002801316619152,5
100000,5e-05,2,3,99949,46,5,0.6562966412470866,5.002861459344756,5
100000,5e-05,2,3,99948,47,5,0.6578095005511714,5.002861459344756,5
100000,5e-05,2,3,99948,47,5,0.6592651046268628,5.002861459344756,5
100000,5e-05,2,3,99948,47,5,0.6607313802866869,5.002861459344756,5
100000,5e-05,2,3,99948,47,5,0.662208485161133,5.002861459344756,5
100000,5e-05,2,3,99948,47,5,0.6636965803992282,5.002861459344756,5
100000,5e-05,2,3,99948,47,5,0.6651958307740408,5.002861459344756,5
100000,5e-05,2,3,99947,48,5,0.6667064047921677,5.002861459344756,5
100000,5e-05,2,3,99946,49,5,0.6681705336355059,5.002861459344756,5
100000,5e-05,2,3,99946,49,5,0.6696114558257077,5.002861459344756,5
100000,5e-05,2,3,99945,50,5,0.671062834635577,5.002911572248031,5
100000,5e-05,2,3,99945,50,5,0.6724614360341784,5.002911572248031,5
100000,5e-05,2,3,99945,50,5,0.6738698867384038,5.002911572248031,5
100000,5e-05,2,3,99945,50,5,0.6752883264547158,5.002911572248031,5
100000,5e-05,2,3,99944,51,5,0.6767168978832873,5.002911572248031,5
100000,5e-05,2,3,99944,51,5,0.6780943083516068,5.002911572248031,5
100000,5e-05,2,3,99943,52,5,0.6794812709036179,5.002911572248031,5
100000,5e-05,2,3,99942,53,5,0.6808381230067386,5.002911572248031,5
100000,5e-05,2,3,99942,52,6,0.6821750214024606,5.002911572248031,5
100000,5e-05,2,3,99942,52,6,0.6836097416320158,5.002911572248031,5
100000,5e-05,2,3,99941,53,6,0.6850548283372181,5.002931700385884,5
100000,5e-05,2,3,99940,54,6,0.6864379542016718,5.002931700385884,5
100000,5e-05,2,3,99939,55,6,0.6878003520218352,5.002931700385884,5
100000,5e-05,2,3,99939,55,6,0.6891161414955194,5.002931700385884,5
100000,5e-05,2,3,99939,55,6,0.6904406448067777,5.002931700385884,5
100000,5e-05,2,3,99939,55,6,0.691773978140111,5.002931700385884,5
100000,5e-05,2,3,99939,55,6,0.6931162600193056,5.002931700385884,5
100000,5e-05,2,3,99939,55,6,0.6944676113706569,5.002931700385884,5
100000,5e-05,2,3,99938,56,6,0.695828155588344,5.002931700385884,5
100000,5e-05,2,3,99937,57,6,0.6971776832536611,5.002931700385884,5
100000,5e-05,2,3,99937,57,6,0.6984900192116664,5.002951859670842,5
100000,5e-05,2,3,99936,58,6,0.6998110231746784,5.002951859670842,5
100000,5e-05,2,3,99936,58,6,0.7010963702183801,5.002951859670842,5
100000,5e-05,2,3,99935,59,6,0.7023900312791822,5.002951859670842,5
100000,5e-05,2,3,99935,59,6,0.7036574584021227,5.002951859670842,5
100000,5e-05,2,3,99934,60,6,0.7049329686062044,5.002951859670842,5
100000,5e-05,2,3,99934,60,6,0.7061752046310491,5.002951859670842,5
100000,5e-05,2,3,99934,59,7,0.7074252046310491,5.002951859670842,5
100000,5e-05,2,3,99934,59,7,0.7086846504748778,5.002951859670842,5
100000,5e-05,2,3,99933,60,7,0.7099520775978183,5.002951859670842,5
100000,5e-05,2,3,99933,60,7,0.7112099392330384,5.003002011346824,5
100000,5e-05,2,3,99933,60,7,0.7124757620178486,5.003002011346824,5
100000,5e-05,2,3,99933,60,7,0.713749647368167,5.003002011346824,5
100000,5e-05,2,3,99933,60,7,0.7150316986502183,5.003002011346824,5
100000,5e-05,2,3,99933,60,7,0.7163220212308635,5.003002011346824,5
100000,5e-05,2,3,99933,60,7,0.7176207225295648,5.003002011346824,5
100000,5e-05,2,3,99932,61,7,0.7189279120720484,5.003002011346824,5
