n,p,lambda,rho,S
100000,5e-05,1,1.3,0.15393
100000,5e-05,1,1.9,0.99999
100000,5e-05,1,1.9,0.20046
100000,5e-05,1,7.8,0.99998
100000,5e-05,1,2.2,0.99999
100000,5e-05,1,4.6,0.99999
100000,5e-05,1,5.1,0.99998
100000,5e-05,1,6.6,0.99997
100000,5e-05,1,9.5,0.99995
100000,5e-05,1,3.6,0.99998
100000,5e-05,1,3.2,0.99997
100000,5e-05,1,5.1,0.99999
100000,5e-05,1,4.9,0.99999
100000,5e-05,1,8.2,0.99999
100000,5e-05,1,3.5,0.99998
100000,5e-05,1,6.4,0.99999
100000,5e-05,1,2.5,0.99999
100000,5e-05,1,7.6,0.99999
100000,5e-05,1,8.4,0.99997
100000,5e-05,1,7.6,0.99999
100000,5e-05,1,2.0,0.20508
100000,5e-05,1,8.9,0.99999
100000,5e-05,1,8.5,0.99998
100000,5e-05,1,4.4,0.99995
100000,5e-05,1,2.4,0.25236
100000,5e-05,1,8.2,0.99998
100000,5e-05,1,0.7,0.99999
100000,5e-05,1,8.2,0.99999
100000,5e-05,1,4.7,0.99998
100000,5e-05,1,3.7,0.99999
100000,5e-05,1,0.0,0.10707
100000,5e-05,1,3.7,0.99994
100000,5e-05,1,8.0,0.99996
100000,5e-05,1,7.0,0.99992
100000,5e-05,1,9.2,0.99999
100000,5e-05,1,1.5,0.99998
100000,5e-05,1,9.4,0.99999
100000,5e-05,1,2.8,0.99999
100000,5e-05,1,3.5,0.99999
100000,5e-05,1,1.7,0.99998
100000,5e-05,1,7.4,0.99999
100000,5e-05,1,1.0,0.99999
100000,5e-05,1,8.7,0.99998
100000,5e-05,1,8.8,0.99998
100000,5e-05,1,7.9,0.99998
100000,5e-05,1,8.9,0.99999
100000,5e-05,1,0.8,0.1324
100000,5e-05,1,3.1,0.99997
100000,5e-05,1,4.3,0.99993
100000,5e-05,1,1.6,0.99998
100000,5e-05,1,5.4,0.99996
100000,5e-05,1,5.4,0.99997
100000,5e-05,1,5.1,0.99997
100000,5e-05,1,9.6,0.99999
100000,5e-05,1,8.8,0.99995
100000,5e-05,1,5.7,0.99992
100000,5e-05,1,0.3,0.11621
100000,5e-05,1,7.1,0.99999
100000,5e-05,1,6.0,0.99996
100000,5e-05,1,0.8,0.99999
100000,5e-05,1,9.5,0.99999
100000,5e-05,1,1.0,0.99999
100000,5e-05,1,1.5,0.99997
100000,5e-05,1,3.2,0.99999
100000,5e-05,1,3.8,0.99999
100000,5e-05,1,6.9,0.99997
100000,5e-05,1,6.8,0.99999
100000,5e-05,1,3.4,0.99998
100000,5e-05,1,6.0,0.99994
100000,5e-05,1,8.1,0.99999
100000,5e-05,1,8.5,0.99999
100000,5e-05,1,6.4,0.99996
100000,5e-05,1,8.4,0.99999
100000,5e-05,1,3.3,0.99998
100000,5e-05,1,6.1,0.99999
100000,5e-05,1,8.8,0.99999
100000,5e-05,1,3.7,0.99998
100000,5e-05,1,6.4,0.99999
100000,5e-05,1,3.6,0.99999
100000,5e-05,1,5.3,0.99996
100000,5e-05,1,6.7,0.99999
100000,5e-05,1,9.8,0.99998
100000,5e-05,1,8.4,0.99999
100000,5e-05,1,2.1,0.22322
100000,5e-05,1,0.2,0.11248
100000,5e-05,1,9.3,0.99997
100000,5e-05,1,5.4,0.99999
100000,5e-05,1,6.4,0.99999
100000,5e-05,1,0.9,0.139
100000,5e-05,1,1.9,0.99998
100000,5e-05,1,7.4,0.99997
100000,5e-05,1,5.1,0.99996
100000,5e-05,1,2.4,0.2565
100000,5e-05,1,1.6,0.99999
100000,5e-05,1,9.7,0.99999
100000,5e-05,1,6.7,0.99997
100000,5e-05,1,5.8,0.99999
100000,5e-05,1,5.4,0.99999
100000,5e-05,1,9.7,0.99993
100000,5e-05,1,0.7,0.12766
100000,5e-05,1,5.6,0.99997
100000,5e-05,1,7.1,0.99999
100000,5e-05,1,7.7,0.99997
100000,5e-05,1,7.1,0.99998
100000,5e-05,1,9.2,0.99999
100000,5e-05,1,5.0,0.99999
100000,5e-05,1,4.0,0.99999
100000,5e-05,1,8.8,0.99998
100000,5e-05,1,6.9,0.99999
100000,5e-05,1,2.8,0.99994
100000,5e-05,1,3.6,0.99982
100000,5e-05,1,3.9,0.99992
100000,5e-05,1,0.5,0.99999
100000,5e-05,1,3.6,0.99999
100000,5e-05,1,0.9,0.13169
100000,5e-05,1,7.5,0.99998
100000,5e-05,1,3.3,0.99999
100000,5e-05,1,4.8,0.99997
100000,5e-05,1,9.6,0.99999
100000,5e-05,1,8.4,0.99998
100000,5e-05,1,0.0,0.10678
100000,5e-05,1,4.9,0.99998
100000,5e-05,1,1.2,0.99999
100000,5e-05,1,3.5,0.99993
100000,5e-05,1,6.2,0.99999
100000,5e-05,1,4.9,0.99999
100000,5e-05,1,6.6,0.99999
100000,5e-05,1,9.8,0.99996
100000,5e-05,1,0.5,0.12162
100000,5e-05,1,9.4,0.99996
100000,5e-05,1,3.5,0.99999
100000,5e-05,1,1.2,0.15359
100000,5e-05,1,2.2,0.99999
100000,5e-05,1,2.7,0.99862
100000,5e-05,1,8.3,0.99994
100000,5e-05,1,8.9,0.99999
100000,5e-05,1,5.1,0.99997
100000,5e-05,1,0.4,0.11791
100000,5e-05,1,4.7,0.99988
100000,5e-05,1,7.6,0.99998
100000,5e-05,1,9.1,0.99997
100000,5e-05,1,4.5,0.9999
100000,5e-05,1,6.9,0.99998
100000,5e-05,1,0.0,0.99998
100000,5e-05,1,0.4,0.11911
100000,5e-05,1,2.1,0.21789
100000,5e-05,1,0.1,0.10951
100000,5e-05,1,1.5,0.99999
100000,5e-05,1,7.2,0.99999
100000,5e-05,1,9.4,0.99997
100000,5e-05,1,8.6,0.99999
100000,5e-05,1,8.5,0.99998
100000,5e-05,1,4.7,0.99996
100000,5e-05,1,5.9,0.99991
100000,5e-05,1,4.2,0.99992
100000,5e-05,1,0.2,0.11239
100000,5e-05,1,2.5,0.99999
100000,5e-05,1,1.3,0.1511
100000,5e-05,1,1.1,0.14198
100000,5e-05,1,9.4,0.99998
100000,5e-05,1,4.9,0.99999
100000,5e-05,1,4.2,0.99999
100000,5e-05,1,6.8,0.99999
100000,5e-05,1,5.2,0.99979
100000,5e-05,1,2.8,0.99507
100000,5e-05,1,4.0,0.99986
100000,5e-05,1,5.2,0.99998
100000,5e-05,1,7.0,0.99999
100000,5e-05,1,7.0,0.99999
100000,5e-05,1,6.6,0.99999
100000,5e-05,1,2.6,0.32153
100000,5e-05,1,6.0,0.99999
100000,5e-05,1,2.9,0.99988
100000,5e-05,1,9.3,0.99999
100000,5e-05,1,2.5,0.99983
100000,5e-05,1,1.5,0.16438
100000,5e-05,1,1.1,0.14279
100000,5e-05,1,1.1,0.99998
100000,5e-05,1,8.9,0.99998
100000,5e-05,1,7.2,0.99992
100000,5e-05,1,4.1,0.99997
100000,5e-05,1,6.5,0.99997
100000,5e-05,1,4.6,0.99999
100000,5e-05,1,1.1,0.99998
100000,5e-05,1,6.2,0.99992
100000,5e-05,1,7.0,0.99998
100000,5e-05,1,6.4,0.99999
100000,5e-05,1,8.5,0.99999
100000,5e-05,1,0.2,0.99999
100000,5e-05,1,9.0,0.99999
100000,5e-05,1,5.5,0.99999
100000,5e-05,1,3.7,0.99884
100000,5e-05,1,6.3,0.99996
100000,5e-05,1,8.3,0.99999
100000,5e-05,1,7.2,0.99996
100000,5e-05,1,8.0,0.99999
100000,5e-05,1,1.5,0.99999
100000,5e-05,1,8.6,0.99995
100000,5e-05,1,5.3,0.99999
100000,5e-05,1,8.8,0.99999
100000,5e-05,1,2.1,0.9999
100000,5e-05,1,8.0,0.99999
100000,5e-05,1,0.1,0.99999
100000,5e-05,1,3.0,0.99998
100000,5e-05,1,1.3,0.15309
100000,5e-05,1,6.8,0.99999
100000,5e-05,1,0.6,0.1234
100000,5e-05,1,0.1,0.11122
100000,5e-05,1,2.1,0.99998
100000,5e-05,1,2.8,0.99998
100000,5e-05,1,6.3,0.99999
100000,5e-05,1,7.8,0.99999
100000,5e-05,1,6.9,0.99996
100000,5e-05,1,7.7,0.99994
100000,5e-05,1,5.8,0.99996
100000,5e-05,1,3.6,0.99999
100000,5e-05,1,1.5,0.99998
100000,5e-05,1,0.7,0.12747
100000,5e-05,1,7.2,0.99999
100000,5e-05,1,6.0,0.99999
100000,5e-05,1,5.0,0.99982
100000,5e-05,1,0.3,0.11461
100000,5e-05,1,2.6,0.9999
100000,5e-05,1,8.6,0.99998
100000,5e-05,1,2.1,0.99999
100000,5e-05,1,4.5,0.99999
100000,5e-05,1,7.2,0.99998
100000,5e-05,1,9.1,0.99999
100000,5e-05,1,8.7,0.99999
100000,5e-05,1,3.4,0.99999
100000,5e-05,1,2.3,0.99999
100000,5e-05,1,8.8,0.99998
100000,5e-05,1,4.0,0.99999
