n,p,lambd,rho,s,diam
1000,0,1,94.63034525042964,0.988,82
1000,0,1,35.01007615238182,0.978,87
1000,0,1,20.741311458294497,0.948,84
2384,0,1,10,0.8976510067114094,162
245,0,1,10,0.9142857142857143,31
1000,0,1,44.185132571286175,0.97,102
1000,0,1,74.92330491697452,0.989,104
943,0,1,10,0.9225874867444327,61
1000,0,1,88.8249711576523,0.985,80
364,0,1,10,0.9175824175824175,46
1000,0,1,49.444275239551146,0.971,87
1209,0,1,10,0.901571546732837,94
1000,0,1,41.63446254267297,0.984,140
1561,0,1,10,0.9077514413837284,89
1000,0,1,34.724768155361204,0.971,53
546,0,1,10,0.8644688644688645,42
694,0,1,10,0.8876080691642652,61
969,0,1,10,0.8844169246646026,59
1000,0,1,71.94196475103253,0.989,67
1763,0,1,10,0.9052750992626205,121
1000,0,1,10.680696568541892,0.909,56
116,0,1,10,0.853448275862069,38
1000,0,1,2.5808983613557213,0.553,80
1000,0,1,15.763011783871693,0.923,93
2234,0,1,10,0.8979409131602507,126
2117,0,1,10,0.894189891355692,120
1000,0,1,32.731358300170236,0.965,92
1000,0,1,14.04664104539518,0.928,119
1486,0,1,10,0.9004037685060565,85
1000,0,1,47.340876517771626,0.981,94
1000,0,1,86.74080933582414,0.986,83
1000,0,1,12.344797554860198,0.927,72
2217,0,1,10,0.8994136220117276,99
1000,0,1,17.228049227540254,0.928,75
1000,0,1,60.94581304719111,0.985,85
2913,0,1,10,0.9042224510813595,192
1000,0,1,49.35104504278029,0.977,83
1000,0,1,94.24097062084903,0.988,107
1000,0,1,8.307889874524522,0.871,63
1743,0,1,10,0.9110728628800918,106
2635,0,1,10,0.905123339658444,152
2318,0,1,10,0.8761863675582399,149
1000,0,1,50.85416890532524,0.98,54
1990,0,1,10,0.9080402010050251,84
1000,0,1,66.79857792707062,0.981,110
1313,0,1,10,0.900990099009901,79
1913,0,1,10,0.898588604286461,89
1000,0,1,61.172756877609615,0.984,78
1000,0,1,22.807507400830605,0.96,84
2252,0,1,10,0.8987566607460036,85
1000,0,1,97.56965332652064,0.982,94
1000,0,1,60.488701046248906,0.974,91
2029,0,1,10,0.9068506653523903,141
2189,0,1,10,0.892188213796254,148
1527,0,1,10,0.9115913555992141,140
1000,0,1,39.56659106792484,0.969,88
2261,0,1,10,0.8978328173374613,86
1000,0,1,68.8045264058494,0.981,101
1000,0,1,79.61958664689568,0.982,77
1208,0,1,10,0.8973509933774835,86
1000,0,1,73.55454700206951,0.987,91
758,0,1,10,0.8905013192612137,59
2115,0,1,10,0.9130023640661938,140
673,0,1,10,0.9108469539375929,74
1000,0,1,30.401183952315257,0.961,84
1000,0,1,87.86768212290858,0.993,61
1927,0,1,10,0.9034769071094966,136
2536,0,1,10,0.9022082018927445,126
1000,0,1,29.98949642211216,0.969,51
1000,0,1,15.415840589087592,0.937,84
142,0,1,10,0.8873239436619719,25
1000,0,1,90.29812042539466,0.984,68
1000,0,1,48.093985399090386,0.979,81
1000,0,1,57.59002875688451,0.991,89
1000,0,1,96.58396666043787,0.992,79
1000,0,1,91.30577189290943,0.99,80
1000,0,1,36.05306966132888,0.97,98
2460,0,1,10,0.9060975609756098,142
104,0,1,10,0.8461538461538461,30
1000,0,1,66.30843565661078,0.98,112
1000,0,1,60.58834198418205,0.987,95
1000,0,1,91.15050712406264,0.98,88
1000,0,1,27.721233883477936,0.972,58
675,0,1,10,0.92,52
1943,0,1,10,0.8934637159032424,95
2322,0,1,10,0.8983634797588286,108
2266,0,1,10,0.9130626654898499,161
903,0,1,10,0.9147286821705426,58
1000,0,1,61.147911805752855,0.982,97
1000,0,1,14.268716722169984,0.948,85
1000,0,1,38.46403695897703,0.976,84
2916,0,1,10,0.901920438957476,102
1000,0,1,46.97910634534219,0.982,74
542,0,1,10,0.8874538745387454,54
1000,0,1,89.34900313737808,0.989,81
1000,0,1,87.52535579790616,0.988,79
244,0,1,10,0.9180327868852459,40
1000,0,1,27.660178913464385,0.962,107
1964,0,1,10,0.8890020366598778,107
1000,0,1,34.80057859951273,0.975,96
1000,0,1,82.81041354756914,0.983,63
1000,0,1,48.47062833942226,0.973,84
1994,0,1,10,0.9102306920762286,130
1000,0,1,75.45144008220076,0.99,79
1000,0,1,44.31884073442831,0.98,85
2080,0,1,10,0.89375,108
1000,0,1,5.725714227880618,0.799,68
1600,0,1,10,0.898125,84
1000,0,1,60.96772303270635,0.979,86
1000,0,1,8.60226407838639,0.891,71
1000,0,1,8.905076995494532,0.895,80
1360,0,1,10,0.9080882352941176,67
1000,0,1,31.21956800012857,0.966,71
1968,0,1,10,0.907520325203252,106
2105,0,1,10,0.8969121140142517,65
637,0,1,10,0.9073783359497645,62
944,0,1,10,0.9141949152542372,62
327,0,1,10,0.9051987767584098,47
