n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,1.25,4,9927,33,40,3.930909039775908,4.974617244157324
10000,0.0005,1.25,4,9927,33,40,3.9352101150447254,4.974617244157324
10000,0.0005,1.25,4,9926,34,40,3.9396105550887297,4.974617244157324
10000,0.0005,1.25,4,9926,34,40,3.9433841399943903,4.974617244157324
10000,0.0005,1.25,4,9926,34,40,3.947233995624804,4.974617244157324
10000,0.0005,1.25,4,9925,35,40,3.9511632687092835,4.974617244157324
10000,0.0005,1.25,4,9925,35,40,3.954849904653984,4.974617244157324
10000,0.0005,1.25,4,9925,35,40,3.9586093031502245,4.974617244157324
10000,0.0005,1.25,4,9925,35,40,3.962444394233638,4.974617244157324
10000,0.0005,1.25,4,9925,35,40,3.966358288558491,4.974617244157324
10000,0.0005,1.25,4,9925,35,40,3.970354292554495,4.974811083123264
10000,0.0005,1.25,4,9925,35,40,3.974435925207556,4.974811083123264
10000,0.0005,1.25,4,9924,36,40,3.9786069366778376,4.974811083123264
10000,0.0005,1.25,4,9923,37,40,3.982427376028363,4.974811083123264
10000,0.0005,1.25,4,9923,36,41,3.9858258467165535,4.974811083123264
10000,0.0005,1.25,4,9923,36,41,3.9892359063925977,4.974811083123264
10000,0.0005,1.25,4,9922,37,41,3.99270812861482,4.974811083123264
10000,0.0005,1.25,4,9922,36,42,3.9961683362272766,4.974811083123264
10000,0.0005,1.25,4,9921,37,42,3.9997050294191423,4.974811083123264
