S,I,R,mu,t
0.9738189865909798,0.020890772374302445,0.005290241034717743,5.038752348658602,1.77
0.9728002215676136,0.021700629673925817,0.005499148758460767,5.040240487742546,1.78
0.9717430233855544,0.022540821559245527,0.005716155055200026,5.041783151681168,1.79
0.9706460369973023,0.0234123997319053,0.005941563270792481,5.0433821349854675,1.8
0.9695078671932543,0.024316445538634174,0.006175687268111534,5.045039275000061,1.81
0.9683270780400924,0.02525407023640978,0.006418851723497876,5.046756451560292,1.82
0.9671021923699646,0.02622641520417329,0.006671392425861974,5.048535586503124,1.83
0.9658316913270759,0.02723465209502045,0.0069336565779037065,5.050378643019103,1.84
0.9645140139787718,0.028279982922374356,0.007206003098853911,5.052287624832007,1.85
0.9631475569987111,0.029363640073211263,0.007488802928077654,5.054264575192159,1.86
0.9617306744302282,0.03048688624096208,0.007782439328809767,5.056311575668741,1.87
0.9602616775385306,0.03165101427025012,0.008087308191219387,5.058430744725824,1.88
0.9587388347609255,0.03285734690515246,0.008403818333921889,5.060624236066199,1.89
0.9571603717648371,0.03410723643218948,0.008732391802973414,5.062894236726574,1.9
0.9555244716239476,0.03540206420875713,0.009073464167295308,5.06524296490711,1.91
0.9538292751233939,0.03674324006722327,0.009427484809382878,5.067672667517845,1.92
0.9520728812055305,0.03813220158441452,0.009794917210055112,5.070185617424106,1.93
0.950253347568371,0.03957041320572985,0.010176239225899256,5.072784110372678,1.94
0.9483686914294093,0.041059365212634355,0.010571943357956554,5.075470461580273,1.95
0.946416890468099,0.04260057252181808,0.010982537010082897,5.078247001965686,1.96
0.944395883960844,0.04419557330385517,0.011408542735301078,5.081116074007004,1.97
0.9423035741228835,0.045845927408777035,0.011850498468339628,5.084080027205415,1.98
0.9401378276719884,0.047553214585584626,0.0123089577424274,5.087141213137399,1.99
0.9378964776293357,0.04931903248238121,0.012784489888283245,5.090301980077627,2.0
0.9355773253733781,0.051144994413514985,0.013277680213107058,5.09356466717555,2.01
0.9331781429628643,0.05303272687989389,0.013789130157242207,5.0969315981696175,2.02
0.9306966757454765,0.054983866828482525,0.014319457426041148,5.100405074624235,2.03
0.928130645268746,0.057000058636928246,0.014869296094325973,5.1039873686760675,2.04
0.9254777525100027,0.0590829508093024,0.015439296680695257,5.10768071527807,2.05
0.9227356814421118,0.06123419236910001,0.016030126188788282,5.111487303931771,2.06
0.9199021029515889,0.06345542893593208,0.01664246811247928,5.115409269900829,2.07
0.9169746791253743,0.0657482984727873,0.0172770224018386,5.119448684901777,2.08
0.9139510679220818,0.06811442669135179,0.017934505386566477,5.1236075472711855,2.09
0.9108289282428441,0.07055542210367617,0.018615649653479994,5.127887771612247,2.1
0.9076059254159946,0.073072870709489,0.019321203874516756,5.132291177928002,2.11
0.9042797371086954,0.07566833030969328,0.020051932581611646,5.136819480253132,2.12
0.9008480596772196,0.07834332443807206,0.02080861588470858,5.141474274801498,2.13
0.8973086149659245,0.08109933590498662,0.0215920491290893,5.146257027652255,2.14
0.8936591575629594,0.08393779994890163,0.022403042488139166,5.151169062003702,2.15
0.8898974825184409,0.0868600969939312,0.023242420487628184,5.156211545030668,2.16
0.8860214335281426,0.08986754501429008,0.024111021457567494,5.161385474388545,2.17
0.8820289115827215,0.09296139150956878,0.025009696907710394,5.166691664414757,2.18
0.8779178840790469,0.09614280509814752,0.025939310822806084,5.172130732086586,2.19
0.8736863943863832,0.0994128667398296,0.02690073887378756,5.1777030828028145,2.2
0.8693325718558942,0.10277256060292089,0.027894867541185853,5.183408896065507,2.21
0.8648546422572794,0.10622276459550602,0.028922593147215063,5.189248111147337,2.22
0.8602509386212535,0.10976424058557699,0.02998482079317012,5.195220412839127,2.23
0.855519912461035,0.11339762433993947,0.031082463199025887,5.201325217381582,2.24
0.8506601453401317,0.11712341521744336,0.03221643944242528,5.207561658694366,2.25
0.845670360747371,0.12094196565802977,0.033387673594599716,5.213928575024707,2.26
0.8405494362335014,0.12485347051531878,0.03459709325118001,5.220424496146213,2.27
0.8352964157567293,0.128857956286938,0.0358456279563332,5.2270476312466245,2.28
0.8299105221773483,0.13295527030344972,0.03713420751920258,5.233795857650381,2.29
0.8243911698342558,0.13714506994350747,0.038463760222237076,5.240666710528085,2.3
0.8187379771286536,0.1414268119496747,0.03983521092167216,5.24765737374989,2.31
0.8129507790327553,0.14579974192607625,0.04124947904116891,5.254764672043308,2.32
0.8070296394339559,0.15026288410561478,0.04270747646042967,5.261985064617717,2.33
0.8009748632177645,0.15481503148075032,0.04421010530148582,5.269314640417626,2.34
0.7947870079860337,0.15945473639767313,0.04575825561629332,5.276749115164396,2.35
0.7884668953007741,0.16418030171895592,0.04735280298027005,5.284283830341274,2.36
0.7820156213382473,0.16898977266429363,0.04899460599745961,5.291913754269227,2.37
