S,I,R,t
0.04112001855440858,1.72877486085742e-07,0.9542989191775844,16.9
0.04112001855440858,1.5641819182323396e-07,0.9542989356204211,17.0
0.04112001855440858,1.415259516274612e-07,0.9542989504977694,17.1
0.04112001855440858,1.2805156964537824e-07,0.9542989639586784,17.2
0.04112001855440858,1.1586005464076607e-07,0.9542989761380019,17.3
0.04112001855440858,1.048292676031641e-07,0.954298987157758,17.4
0.04112001855440858,9.484869811505035e-08,0.9542989971283474,17.5
0.04112001855440858,8.581835721847646e-08,0.9542990061496577,17.6
0.04112001855440858,7.764777568949207e-08,0.9542990143120691,17.7
0.04112001855440858,7.025509768471115e-08,0.9542990216973534,17.8
0.04112001855440858,6.356626067984241e-08,0.9542990283795014,17.9
0.04112001855440858,5.751425348451144e-08,0.9542990344254566,18.0
0.04112001855440858,5.2038444899898724e-08,0.9542990398957896,18.1
0.04112001855440858,4.708397629344206e-08,0.954299044845304,18.2
0.04112001855440858,4.2601212005197686e-08,0.9542990493235854,18.3
0.04112001855440858,3.8545242079831614e-08,0.9542990533754994,18.4
0.04112001855440858,3.487543234243048e-08,0.9542990570416401,18.5
0.04112001855440858,3.155501731062807e-08,0.9542990603587354,18.6
0.04112001855440858,2.8550731864694592e-08,0.9542990633600171,18.7
0.04112001855440858,2.5832477985525702e-08,0.9542990660755531,18.8
0.04112001855440858,2.337302322179209e-08,0.9542990685325485,18.9
0.04112001855440858,2.1147727865384373e-08,0.9542990707556183,19.0
0.04112001855440858,1.9134298101897968e-08,0.9542990727670342,19.1
0.04112001855440858,1.731256266313036e-08,0.9542990745869474,19.2
0.04112001855440858,1.5664270744014597e-08,0.9542990762335916,19.3
0.04112001855440858,1.4172909159447622e-08,0.9542990777234621,19.4
0.04112001855440858,1.2823536909224297e-08,0.9542990790714859,19.5
0.04112001855440858,1.1602635493689056e-08,0.9542990802911662,19.6
0.04112001855440858,1.049797348051274e-08,0.9542990813947239,19.7
0.04112001855440858,9.498483965775967e-09,0.9542990823932136,19.8
0.04112001855440858,8.594153701719624e-09,0.9542990832966407,19.9
