S,I,R,psi,t
0.11364714864630043,0.013487861589696485,0.8728324182419669,46.2338459330587,11.9
0.11320121240965457,0.012628357213193648,0.8741377403232051,42.98924779107539,12.0
0.11278657715289496,0.011820881276437751,0.8753597404714321,39.971178806237276,12.1
0.11240105669461287,0.01106256151641377,0.8765034766847589,37.1639833915017,12.2
0.11204261605610089,0.010350655214280356,0.8775737262383233,34.553065926525235,12.3
0.11170936120827624,0.00968254661843522,0.8785749985133221,32.12482204571995,12.4
0.11139952948550098,0.009055743978518355,0.87951154754817,29.86657394830599,12.5
0.11111148062692694,0.008467876264828013,0.8803873842767916,27.766509558770753,12.6
0.11084368840773795,0.00791668963888667,0.8812062884258528,25.81362536303634,12.7
0.11059473282440069,0.007400043732969441,0.8819718200490477,23.997672744813492,12.8
0.11036329279980284,0.00691590778923962,0.8826873306819046,22.309107647628007,12.9
0.11014813937587963,0.00646235670266584,0.8833559741053623,20.739043390485865,13.0
0.10994812936303297,0.006037567006071413,0.8839807167104382,19.279206468781965,13.1
0.1097621994173213,0.005639812830435007,0.8845643474599081,17.921895176587885,13.2
0.1095893605179936,0.005267461868875791,0.8851094874459946,16.659940891665133,13.3
0.10942869281951789,0.004918971368567353,0.8856185990456202,15.486671870252227,13.4
0.10927934085373847,0.0045928841710910166,0.8860939946771865,14.395879404721159,13.5
0.10914050905924294,0.00428782481841941,0.8865378451644934,13.381786203462067,13.6
0.1090114576163962,0.00400249573877755,0.886952187715154,12.439016858733138,13.7
0.10889149856779795,0.003735673524026016,0.8873389335221212,11.562570274623083,13.8
0.10877999220518109,0.003486205307916906,0.8876998749978877,10.747793933646648,13.9
0.10867634370494313,0.0032530052525578446,0.8880366926519049,9.990359886777629,14.0
0.10857999999562515,0.0030350511486547235,0.8883509616222939,9.286242357875512,14.1
0.1084904468417134,0.002831381133565128,0.8886441578734404,8.631696859445992,14.2
0.10840720612914402,0.002641090529858322,0.888917664071432,8.023240722473135,14.3
0.10832983333882903,0.0024633288059224432,0.8891727751494264,7.457634948647142,14.4
0.10825791519541529,0.002297296659166818,0.8894107035752268,6.9318672986786645,14.5
0.10819106747932829,0.0021422432215187862,0.8896325843333059,6.443136535527911,14.6
0.10812893299093387,0.001997463386194542,0.8898394796334577,5.988837746282138,14.7
0.10807117965639289,0.001862295254117527,0.8900323833581293,5.566548671085041,14.8
0.10801749876547789,0.0017361176978530615,0.8902122252603006,5.174016971959505,14.9
0.10796760333227019,0.0016183480405121387,0.8903798749235246,4.809148378573156,15.0
0.10792122657026805,0.0015084398467401477,0.8905361454955075,4.469995651979631,15.1
0.10787812047400093,0.0014058808226378823,0.8906817972062528,4.154748311132882,15.2
0.10783805449978627,0.0013101908212543323,0.8908175406815207,3.8617230705250334,15.3
0.10780081433875921,0.0012209199501354356,0.8909440400619667,3.5893549406468193,15.4
0.10776620077577716,0.0011376467773031827,0.8910619159380003,3.3361889461225562,15.5
0.10773402862823296,0.0010599766319694878,0.891171748110003,3.100872419336406,15.6
0.10770412575922603,0.0009875399962530225,0.8912740781832156,2.882147830152749,15.7
0.10767633215990795,0.000919990984160281,0.8913694120061877,2.678846114948464,15.8
0.10765049909618969,0.0008570059041098426,0.8914582219613417,2.4898804706281985,15.9
0.10762648831532279,0.000798281901317563,0.8915409491158145,2.3142405815928564,16.0
0.10760417130816813,0.0007435356764164793,0.8916180052403828,2.150987249785659,16.1
0.10758342862327222,0.0006925022767559579,0.8916897747039109,1.9992473999561444,16.2
0.10756414922912359,0.0006449339569069855,0.8917566162504467,1.858209434169314,16.3
0.1075462299212219,0.0006005991049925784,0.8918188646656575,1.7271189113510597,16.4
0.10752957477082066,0.0005592812315616727,0.8918768323390719,1.6052745293103152,16.5
0.10751409461243097,0.0005207780178300489,0.8919308107282088,1.4920243882188937,16.6
0.10749970656736173,0.00048490042022111775,0.8919810717303716,1.3867625159691253,16.7
0.10748633360077609,0.0004514718282515726,0.8920278689675776,1.2889256371727176,16.8
0.10747390410991711,0.0004203272729206779,0.892071438989852,1.1979901688182304,16.9
0.10746235154130254,0.0003913126828764995,0.8921120024017523,1.11346942677432,17.0
0.10745161403486998,0.00036428418574671313,0.8921497649168032,1.0349110284171912,17.1
0.10744163409317094,0.0003391074521351254,0.8921849183442042,0.9618944776781323,17.2
0.10743235827385565,0.00031565707989708266,0.8922176415120046,0.8940289197557063,17.3
0.10742373690381438,0.00029381601641703025,0.8922481011305899,0.8309510536213691,17.4
0.10741572381345195,0.00027347501671921696,0.8922764526002264,0.7723231912711934,17.5
0.10740827608967939,0.00025453213534758017,0.8923028407661262,0.7178314534441077,17.6
0.10740135384630706,0.00023689225005294782,0.8923274006242966,0.6671840922422003,17.7
0.10739492001061521,0.00022046661542463974,0.8923502579812841,0.6201099317546105,17.8
0.10738894012496186,0.00020517244469918697,0.892371530070693,0.5763569184068962,17.9
0.10738338216237478,0.00019093251807113818,0.8923913261292322,0.5356907733352482,18.0
0.10737821635513656,0.00017767481591965653,0.8924097479348629,0.497893739622573,18.1
0.10737341503545347,0.0001653321754498845,0.8924268903094329,0.4627634177340441,18.2
0.10736895248735491,0.0001538419693297577,0.8924428415880988,0.43011168295554103,18.3
0.10736480480903335,0.00014314580498118957,0.8924576840576645,0.39976367907197347,18.4
0.10736094978488796,0.00013318924325929902,0.8924714943657976,0.3715568829259857,18.5
0.10735736676659151,0.00012392153532470515,0.8924843439030806,0.34534023487295473,18.6
0.10735403656254093,0.00011529537658190898,0.8924962991595812,0.32097333049752186,18.7
0.10735094133510377,0.0001072666766215272,0.8925074220576277,0.2983256692818986,18.8
0.10734806450511032,9.9794344165694e-05,0.8925177702623392,0.2772759562185205,18.9
0.10734539066308059,9.284008607441403e-05,0.8925273974713857,0.25771145264086576,19.0
0.10734290548671206,8.636821952615375e-05,0.8925363536852714,0.23952737280787909,19.1
0.10734059566418526,8.0345496538549e-05,0.8925446854594993,0.22262632302074317,19.2
0.10733844882288067,7.474094004495199e-05,0.8925524361397563,0.2069177802770913,19.3
0.10733645346312057,6.952569078970317e-05,0.8925596460812448,0.19231760767819409,19.4
0.10733459889658575,6.467286434962168e-05,0.8925663528532366,0.17874760400042441,19.5
0.10733287518907556,6.015741763137274e-05,0.8925725914297933,0.16613508502432262,19.6
0.10733127310730572,5.5956024234182035e-05,0.8925783943675945,0.15441249438385332,19.7
0.10732978406945749,5.204695810495033e-05,0.8925837919717092,0.14351704185585865,19.8
0.10732840009921779,4.840998494827336e-05,0.8925888124501431,0.13339036715606722,19.9
